               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12118,            0.023297,                   0,          0.00020833,              0.0625,          0.00018244,          3.6487e-05,             0.11227,            0.016628,                   0,               0.091,               0.001,               0.001
                   1,              0.1139,            0.021518,                   0,          0.00020833,              0.0625,           0.0001111,           3.333e-05,             0.10072,             0.01388,                   0,            0.081091,           0.0020906,           0.0020906
                   2,             0.10621,            0.019704,                   0,           0.0010417,              0.3125,          0.00096265,          0.00014408,            0.092122,            0.012052,                   0,            0.071171,           0.0031712,           0.0031712
                   3,            0.099975,            0.020997,                   0,           0.0010417,              0.3125,          0.00080895,          0.00017444,            0.087488,            0.011382,                   0,            0.061242,           0.0042419,           0.0042419
                   4,            0.092002,            0.021423,                   0,           0.0014583,              0.4375,           0.0024938,          0.00058218,            0.077126,            0.011055,                   0,            0.051303,           0.0053028,           0.0053028
                   5,            0.086442,            0.021968,                   0,              0.0025,                0.75,           0.0066197,           0.0012552,            0.069576,            0.011059,                   0,            0.041354,           0.0063537,           0.0063537
                   6,             0.08372,            0.020908,                   0,           0.0027083,              0.8125,             0.02177,           0.0057702,            0.072041,            0.010083,                   0,            0.031395,           0.0073948,           0.0073948
                   7,            0.083089,            0.020427,                   0,           0.0029167,               0.875,            0.062826,            0.015715,            0.066307,            0.010078,                   0,            0.021426,           0.0084259,           0.0084259
                   8,            0.082203,            0.019245,                   0,           0.0029167,               0.875,            0.061016,            0.015273,            0.084268,           0.0084061,                   0,            0.011447,           0.0094472,           0.0094472
                   9,            0.077366,            0.020624,                   0,           0.0033333,                   1,             0.17558,            0.037318,            0.069055,           0.0094141,                   0,            0.009595,            0.009595,            0.009595
                  10,            0.080622,            0.019363,                   0,            0.003125,              0.9375,            0.077336,            0.018734,            0.065171,           0.0093821,                   0,            0.009595,            0.009595,            0.009595
                  11,            0.072567,            0.021357,                   0,            0.003125,              0.9375,               0.206,            0.047243,            0.061368,           0.0092859,                   0,             0.00955,             0.00955,             0.00955
                  12,            0.068316,            0.019909,                   0,           0.0031881,              0.9375,             0.16835,            0.047399,            0.060362,           0.0088827,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.067422,            0.020308,                   0,             0.16238,                 0.5,             0.19943,            0.065862,            0.052311,           0.0092045,                   0,             0.00946,             0.00946,             0.00946
                  14,            0.064777,            0.020653,                   0,             0.45246,               0.375,             0.32747,             0.11158,            0.052965,           0.0085543,                   0,            0.009415,            0.009415,            0.009415
                  15,            0.068165,             0.01949,                   0,             0.26653,                0.25,             0.17134,            0.051539,            0.057904,           0.0080082,                   0,             0.00937,             0.00937,             0.00937
                  16,            0.063137,             0.01993,                   0,             0.29093,              0.3125,             0.19315,            0.056485,            0.058879,           0.0077065,                   0,            0.009325,            0.009325,            0.009325
                  17,            0.062589,             0.02096,                   0,             0.51607,               0.375,             0.44141,             0.23011,            0.040492,           0.0085022,                   0,             0.00928,             0.00928,             0.00928
                  18,            0.056834,            0.019901,                   0,             0.62062,             0.30739,             0.42928,             0.15663,            0.055764,           0.0073833,                   0,            0.009235,            0.009235,            0.009235
                  19,            0.061202,            0.018848,                   0,             0.96798,               0.375,             0.57135,             0.31988,            0.041054,           0.0077879,                   0,             0.00919,             0.00919,             0.00919
                  20,              0.0565,            0.017934,                   0,             0.48724,              0.6875,             0.61005,             0.31376,            0.040524,           0.0076611,                   0,            0.009145,            0.009145,            0.009145
                  21,            0.058466,            0.019106,                   0,              0.4969,             0.67935,             0.59677,             0.31504,            0.043349,           0.0072565,                   0,              0.0091,              0.0091,              0.0091
                  22,            0.054928,            0.017718,                   0,             0.54345,              0.6875,             0.70451,             0.34354,            0.038031,           0.0071377,                   0,            0.009055,            0.009055,            0.009055
                  23,            0.052791,            0.017492,                   0,             0.78054,             0.66787,             0.73184,             0.35313,            0.038755,           0.0070976,                   0,             0.00901,             0.00901,             0.00901
                  24,            0.053448,            0.017391,                   0,             0.67915,               0.625,             0.70968,             0.41595,            0.042342,           0.0067972,                   0,            0.008965,            0.008965,            0.008965
                  25,            0.052934,             0.01639,                   0,             0.61409,              0.6875,             0.76029,             0.42222,            0.036717,           0.0072392,                   0,             0.00892,             0.00892,             0.00892
                  26,            0.049039,            0.016442,                   0,             0.93088,              0.5625,             0.75127,             0.42771,            0.039537,           0.0070322,                   0,            0.008875,            0.008875,            0.008875
                  27,            0.051706,             0.01448,                   0,             0.85277,                 0.5,             0.70144,             0.39798,            0.042367,           0.0068319,                   0,             0.00883,             0.00883,             0.00883
                  28,            0.051104,            0.015538,                   0,             0.64032,              0.6684,             0.72616,             0.39015,            0.044825,           0.0069174,                   0,            0.008785,            0.008785,            0.008785
                  29,            0.049329,            0.015762,                   0,             0.95958,               0.625,             0.77972,             0.46539,            0.038011,           0.0065662,                   0,             0.00874,             0.00874,             0.00874
                  30,             0.04669,            0.015524,                   0,             0.90874,               0.625,             0.81458,             0.40788,            0.040788,           0.0067785,                   0,            0.008695,            0.008695,            0.008695
                  31,            0.052056,            0.016552,                   0,             0.64542,               0.875,             0.78713,              0.4722,            0.034848,           0.0063353,                   0,             0.00865,             0.00865,             0.00865
                  32,            0.047667,            0.014946,                   0,             0.86468,             0.79945,             0.87965,             0.46763,            0.037214,           0.0057852,                   0,            0.008605,            0.008605,            0.008605
                  33,            0.047114,            0.013104,                   0,             0.90238,                0.75,              0.8538,             0.51609,             0.03066,           0.0059547,                   0,             0.00856,             0.00856,             0.00856
                  34,            0.046047,            0.014559,                   0,             0.78151,               0.625,             0.74763,             0.29254,             0.03682,           0.0058426,                   0,            0.008515,            0.008515,            0.008515
                  35,            0.045509,            0.012251,                   0,             0.69456,             0.85348,             0.86209,              0.4859,            0.035465,            0.005438,                   0,             0.00847,             0.00847,             0.00847
                  36,            0.043577,            0.015393,                   0,             0.65631,                0.75,             0.79148,              0.4186,            0.035722,           0.0057999,                   0,            0.008425,            0.008425,            0.008425
                  37,            0.045054,            0.013529,                   0,             0.81675,                0.75,             0.85665,             0.49316,            0.033684,           0.0055088,                   0,             0.00838,             0.00838,             0.00838
                  38,            0.042682,            0.012872,                   0,             0.66094,             0.85352,             0.82088,             0.41816,            0.032893,           0.0056343,                   0,            0.008335,            0.008335,            0.008335
